customer_id,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment
17850,2010-12-02 15:27:00,34,5391.210000000009,372,1,4,4,At Risk
13047,2011-11-08 12:06:00,10,3237.540000000001,32,3,4,4,Champions
12583,2011-12-07 08:07:00,15,7281.379999999993,3,4,4,4,Champions
13748,2011-09-05 09:45:00,5,948.2499999999998,96,2,3,3,Loyal Customers
15100,2011-01-10 10:35:00,3,876.0,334,1,3,3,At Risk
15291,2011-11-14 11:02:00,15,4668.300000000002,26,3,4,4,Champions
14688,2011-12-02 12:26:00,21,5630.869999999997,8,4,4,4,Champions
17809,2011-11-23 12:59:00,12,5411.910000000001,16,4,4,4,Champions
15311,2011-12-09 12:00:00,91,60767.90000000011,1,4,4,4,Champions
16098,2011-09-13 09:59:00,7,2005.6300000000003,88,2,4,4,Loyal Customers
18074,2010-12-01 09:53:00,1,489.6,374,1,1,2,Lost
17420,2011-10-20 14:52:00,3,598.8300000000002,50,3,3,2,Loyal Customers
16029,2011-11-01 10:27:00,63,81024.84000000001,39,3,4,4,Champions
16250,2011-03-23 15:07:00,2,389.44000000000005,261,1,2,2,Lost
12431,2011-11-04 11:55:00,15,6487.449999999999,36,3,4,4,Champions
17511,2011-12-07 10:12:00,31,91062.37999999996,3,4,4,4,Champions
13705,2011-12-02 12:32:00,3,711.8600000000001,8,4,3,3,Champions
13747,2010-12-01 10:37:00,1,79.6,374,1,1,1,Lost
13408,2011-12-08 09:05:00,62,28117.039999999983,2,4,4,4,Champions
13767,2011-12-07 15:00:00,37,17220.360000000008,2,4,4,4,Champions
17924,2011-11-28 09:11:00,7,2962.5000000000005,12,4,4,4,Champions
13448,2011-11-23 12:33:00,6,3539.370000000002,17,4,4,4,Champions
15862,2011-12-01 13:28:00,4,832.88,8,4,3,3,Champions
15513,2011-11-06 14:36:00,19,14758.219999999998,33,3,4,4,Champions
12791,2010-12-01 11:27:00,1,192.60000000000002,374,1,1,1,Lost
16218,2011-11-10 09:59:00,7,3084.6800000000017,30,3,4,4,Champions
14045,2011-08-22 15:27:00,4,1659.75,109,2,3,3,Loyal Customers
14307,2011-09-12 09:38:00,6,2995.7200000000007,89,2,4,4,Loyal Customers
17908,2010-12-01 11:45:00,1,243.2799999999999,374,1,1,1,Lost
17920,2011-12-05 14:29:00,17,4204.0999999999885,4,4,4,4,Champions
0,2011-12-09 10:26:00,2189,1744214.5799992427,1,4,4,4,Champions
12838,2011-11-06 12:20:00,2,683.1299999999994,34,3,2,3,New / Promising
13255,2011-11-30 13:14:00,2,399.51,9,4,2,2,New / Promising
16583,2010-12-01 12:03:00,1,233.45000000000002,374,1,1,1,Lost
18085,2011-01-13 15:17:00,2,689.95,330,1,2,3,Lost
13758,2011-11-28 11:11:00,7,3190.550000000001,12,4,4,4,Champions
13694,2011-12-06 09:32:00,50,65039.620000000024,4,4,4,4,Champions
15983,2011-11-17 17:34:00,4,1475.02,22,3,3,3,Champions
14849,2011-11-18 10:58:00,25,7930.539999999996,22,3,4,4,Champions
17968,2010-12-01 12:23:00,1,277.34999999999997,374,1,1,1,Lost
16210,2011-12-08 12:36:00,18,21086.299999999996,2,4,4,4,Champions
17897,2011-06-20 11:23:00,3,566.5999999999999,173,1,3,2,At Risk
17377,2011-11-16 11:17:00,20,4100.919999999995,24,3,4,4,Champions
16552,2011-04-11 10:04:00,2,379.72999999999996,243,1,2,2,Lost
17181,2011-10-13 14:48:00,2,239.91999999999996,57,2,2,1,Needs Attention
17951,2011-10-31 12:30:00,3,1008.5400000000003,40,3,3,3,Champions
14729,2010-12-01 12:43:00,1,313.48999999999995,374,1,1,2,Lost
12748,2011-12-09 12:20:00,210,33719.730000000316,1,4,4,4,Champions
15012,2011-10-17 12:22:00,2,423.0399999999996,54,2,2,2,Needs Attention
12868,2011-06-07 10:42:00,6,1607.0600000000009,186,1,4,3,At Risk
17572,2011-09-29 17:53:00,4,226.75,71,2,3,1,Loyal Customers
14078,2011-08-30 12:16:00,6,1049.3700000000003,102,2,4,3,Loyal Customers
14001,2011-10-25 10:31:00,3,2043.08,46,3,3,4,Champions
12662,2011-12-09 11:59:00,11,3849.7799999999984,1,4,4,4,Champions
15525,2011-12-07 14:43:00,3,825.9200000000002,2,4,3,3,Champions
14237,2010-12-01 13:20:00,1,161.00000000000003,373,1,1,1,Lost
17905,2011-09-29 17:33:00,4,800.24,71,2,3,3,Loyal Customers
15485,2011-11-09 14:31:00,3,2575.0,30,3,3,4,Champions
12433,2011-12-09 10:02:00,7,13375.869999999992,1,4,4,4,Champions
16955,2011-06-08 10:36:00,4,518.67,185,1,3,2,At Risk
15350,2010-12-01 13:33:00,1,115.65,373,1,1,1,Lost
15605,2011-11-03 14:17:00,5,1198.23,36,3,3,3,Champions
